Country,Hospital_Percentage,ISO3,countryPop,Nfacs,log10_x,log10_y,log10_pred_Y,pred_Nfacs,Absolute_Error,Relative_Error,Squared_Error,Model
Angola,9.523809524,AGO,36448896.41,1575,7.561684383,3.197280558,3.38276933,2414.178235,839.1782349,0.532811578,704220.1099,2
Benin,0.854700855,BEN,13070902.39,819,7.116305571,2.913283902,3.093502232,1240.229999,421.2299986,0.514322343,177434.7117,2
Botswana,4.647435897,BWA,2406656.286,624,6.38141407,2.79518459,2.396781948,249.3342548,-374.6657452,-0.600425874,140374.4206,2
Burkina Faso,0.755374782,BFA,22811078.23,1721,7.358145814,3.23578087,3.308852325,2036.34953,315.3495297,0.183236217,99445.3259,2
Burundi,0,BDI,11376185.9,665,7.05599668,2.822821645,3.050462495,1123.213966,458.2139658,0.689043558,209960.0384,2
Cameroon,0,CMR,28288368.97,3061,7.451607908,3.48586333,3.400770143,2516.344762,-544.6552379,-0.17793376,296649.3282,2
Cape Verde,0,CPV,546389.9238,66,5.737502682,1.819543936,1.882956368,76.37590477,10.37590477,0.157210678,107.6593999,2
Central African Republic,0,CAF,5385423.696,555,6.731219877,2.744292983,2.762877638,579.265466,24.26546599,0.04372156,588.8128395,2
Chad,0.077942323,TCD,16535465.13,1283,7.218416416,3.108226656,3.193337654,1560.765489,277.7654894,0.216496874,77153.66711,2
Comoros,4.545454545,COM,892913.4766,66,5.950809378,1.819543936,2.016724603,103.9260937,37.92609366,0.574637783,1438.38858,2
Congo,0.304878049,COG,4038358.662,328,6.606204888,2.515873844,2.648482284,445.1253044,117.1253044,0.357089343,13718.33693,2
Cote d'Ivoire,1.283482143,CIV,26562737.68,1792,7.424272833,3.253338005,3.361003722,2296.168324,504.1683244,0.281343931,254185.6993,2
Democratic Republic of the Congo,0,COD,114297578.5,14586,8.05803703,4.163936209,3.937753789,8664.705163,-5921.294837,-0.405957414,35061732.55,2
Djibouti,19.6969697,DJI,1166109.078,66,6.066739176,1.819543936,1.93567346,86.23299304,20.23299304,0.306560501,409.3740074,2
Equatorial Guinea,38.29787234,GNQ,1305194.836,47,6.115675347,1.672097858,1.753478245,56.68631746,9.686317457,0.206091861,93.82474587,2
Eritrea,8.178438662,ERI,4175098.609,269,6.620666737,2.42975228,2.565824706,367.9804158,98.98041584,0.367956936,9797.12272,2
Ethiopia,3.087248322,ETH,103932082.3,5215,8.016749629,3.717254313,3.863762957,7307.401288,2092.401288,0.401227476,4378143.152,2
Gabon,2.398523985,GAB,3056734.042,542,6.485257654,2.733999287,2.516000871,328.0959511,-213.9040489,-0.394656917,45754.94213,2
Gambia,5.825242718,GMB,2436056.664,103,6.386687386,2.012837225,2.387171019,243.8770985,140.8770985,1.36773882,19846.35688,2
Ghana,9.081632653,GHA,33100891.42,1960,7.51983969,3.292256071,3.351077691,2244.283367,284.2833673,0.145042534,80817.03293,2
Guinea,0.171821306,GIN,12365029.06,1746,7.092195142,3.242044239,3.08043242,1203.462106,-542.5378945,-0.310731898,294347.3669,2
Kenya,6.54083957,KEN,55224514.93,6146,7.74213191,3.788592556,3.578719982,3790.70495,-2355.29505,-0.383224056,5547414.771,2
Lesotho,16.23931624,LSO,1877331.336,117,6.273540929,2.068185862,2.160715694,144.7823743,27.78237433,0.237456191,771.8603233,2
Liberia,5.135135135,LBR,4584148.03,740,6.661258633,2.86923172,2.638666869,435.1779365,-304.8220635,-0.411921707,92916.4904,2
Madagascar,4.669406052,MDG,27900930.41,2677,7.445618686,3.427648371,3.338852366,2181.988039,-495.0119611,-0.184912948,245036.8416,2
Malawi,12.65432099,MWI,18425577.01,648,7.265421097,2.811575006,3.082476733,1209.140403,561.1404026,0.865957411,314878.5515,2
Mali,1.217861976,MLI,23247298.62,1478,7.366372494,3.169674434,3.310529478,2044.228683,566.2286825,0.383104657,320614.9209,2
Mauritania,2.790697674,MRT,4428683.445,645,6.646274639,2.809559715,2.653824005,450.6340505,-194.3659495,-0.301342557,37778.12231,2
Mauritius,6.024096386,MUS,1291248.32,166,6.11100977,2.220108088,2.140651726,138.2457301,-27.75426989,-0.167194397,770.2994969,2
Mozambique,3.86320456,MOZ,31070013.84,1579,7.492341447,3.19838213,3.389999475,2454.70595,875.7059495,0.554595282,766860.91,2
Namibia,9.756097561,NAM,2471643.761,369,6.392985876,2.567026366,2.345088417,221.3545316,-147.6454684,-0.400123221,21799.18435,2
Niger,1.420651421,NER,23817178.05,2886,7.376890303,3.460296327,3.317384106,2076.74946,-809.2505405,-0.280405593,654886.4373,2
Nigeria,4.320661316,NGA,216798661.3,20807,8.336056596,4.318209467,4.13154979,13537.85288,-7269.147122,-0.349360654,52840499.88,2
Rwanda,8.216783217,RWA,13574375.16,572,7.132719848,2.757396029,3.018774938,1044.178959,472.1789595,0.825487691,222952.9698,2
Sao Tome and Principe,0,STP,216440.3493,50,5.335338226,1.698970004,1.526845937,33.63922155,-16.36077845,-0.327215569,267.6750715,2
Senegal,0.519673348,SEN,16521842.84,1347,7.218058487,3.129367596,3.187664926,1540.511434,193.5114344,0.14366105,37446.67525,2
